あきた 秋田
あくね 阿久根
あまがさき 尼ケ崎
あおもり 青森
あさひかわ 旭川
ちば 千葉
ちょし 銚子
えべつ 江別
ふくおか 福岡
ふくしま 福島
ふなばし 船橋
ぎふ 岐阜
はちおじ 八王子
はこだて 函館
はくい 羽咋
ひがしおさか 東大阪
ひめじ 姫路
ひろしま 広島
ひたち 日立
ほんじょ 本庄
いちかわ 市川
いちのみや 一宮
いいずか 飯塚 
いわくに 岩国
いずみ 和泉
じょえつ 上越
かでな 嘉手納基地
かでな 嘉手納
かごしま 鹿児島
かみいそ 上磯
かなざわ 金沢
からつ 唐津
かりや 刈谷
かしわざき 柏崎
かすがい 春日井
かわぐち 川口
かわさき 川崎
きさかた 象潟
きしわだ 岸和田
きたきゅしゅ 北九州
こべ 神戸
こふ 甲府
こまつ 小松
くまもと 熊本
くらしき 倉敷
くれ 呉
くるめ 久留米
きょと 京都
まちだ 町田
まつど 松戸
まつもと 松本
まつと 松任
まつやま 松山
みなみとりしま 南鳥島
みと 水戸
みやざき 宮崎
もりおか 盛岡
もてぎ 茂木
ながの 長野
ながおか 長岡
ながさき 長崎
なご 名護
なごや 名古屋
なは 那覇
ななの 七尾
なら 奈良
にいがた 新潟
のしろ 能代
おがき 大垣
おかや 岡谷
おかやま 岡山
おかざき 岡崎
おきなわ 沖縄
おみや 大宮
おむら 大村
おむた 大牟田
おさか 大阪
おたる 小樽
おつ 大津
さがみはら 相模原
さかい 堺
さかた 酒田
さんじょ 三条
さっぽろ 札幌
させぼ 佐世保
せんだい 仙台
しものせき 下関
しずおか 静岡
すずか 鈴鹿
たかまつ 高松
たかおか 高岡
たかつき 高槻
とくやま 徳山
ときょ 東京
とやま 富山
とよなか 豊中
とよた 豊田
つ 津
つるおか 鶴岡
うべ 宇部
うえだ 上田
うじ 宇治
うつのみや 宇都宮
わかやま 和歌山
やまぐち 山口
やお 八尾
よっかいち 四日市
よこはま 横浜
ゆくはし 行橋
